,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,wb_name,ISO
Albania,0.8005943345441464,0.797292157114512,0.754797259529428,0.7773385535190354,0.7815009566907263,0.7224458951666742,0.7010789064033665,0.7057428680408513,0.7206292218507566,0.7039021782659289,0.759592272799792,0.8351165218896619,0.8039454117622485,0.8506226708821297,0.8526381828755043,,Albania,ALB
Algeria,,,,,,,,,,,,,,,,,Algeria,DZA
Andorra,,,,,,,,,,,,,,,,,Andorra,AND
Angola,,,,,,,,,,,,,,,,,Angola,AGO
Antigua and Barbuda,,,,,,,,,,,,,,,,,Antigua and Barbuda,ATG
Argentina,0.9838441479496088,1.0012177908377133,1.343218309762631,1.180393134460291,1.1738230164613275,1.1358506642848252,1.1051930332160205,1.059627625880626,1.0527725158529821,1.068888050046333,1.0321871415225345,1.0157313476039658,0.9981747099791639,0.9674979622344498,0.9758427176099588,,Argentina,ARG
Armenia,0.847928979394956,0.8363013113455693,0.8192218630702397,0.7769848988601129,0.8133139113442508,0.7850063225860632,0.7846511633243399,0.6635638514515529,0.8007221726890142,0.7149436507988918,0.7371573886689525,0.8239197715955153,0.8649595020788009,0.8544477117375981,0.8912169051381866,,Armenia,ARM
Australia,1.210695952578702,1.2091574508930447,1.1432231242024968,1.10880523893431,1.0969362883455906,1.111064623468608,1.0744765027596561,1.0516829501702347,1.0889413457101373,1.0389337067294886,1.0408123005235335,1.017913067998706,0.978117230806507,1.0124450530192282,1.0123421259859156,,Australia,AUS
Austria,0.7034803558385623,0.7259911811778813,0.7396429979085911,0.7809295919779309,0.7611188846318817,0.7552467862806018,0.7167997156340757,0.7246541090923092,0.7347064163935311,0.7299862535797429,0.7400506327790428,0.6972242852721323,0.7098679709683436,0.7261559806775714,0.7114184820259568,,Austria,AUT
Azerbaijan,1.1287798726099736,1.0888392347387599,0.993184825589082,0.9057610068800468,0.8851940810848716,0.9813404051532875,0.9652857480803285,0.951101731269728,0.9889684499660398,0.9848564740789552,0.9868431703363788,0.9856676835078483,0.9598864705472692,0.9251398648649467,0.9147980105019787,,Azerbaijan,AZE
Bahamas,,,,,,,,,,,,,,,,,"Bahamas, The",
Bahrain,1.429220243555337,1.2604840171366127,1.285838860931798,1.372404606163597,1.4782284534216055,1.389826894982112,1.5211148643655044,1.5915215727515777,1.558969263817217,1.3785157603091613,1.3746365734056205,1.55491091334087,1.6026855040299386,1.6360388918090623,1.6003383028687108,,Bahrain,BHR
Bangladesh,0.8209720130283125,0.7823645557487874,0.8659095202648966,0.7343222144456725,0.7539364978572909,0.7612057170684158,0.7866133823709105,0.7526916408408526,0.7996801718238509,0.8039967563376402,0.7800279719079292,0.7687565281202201,0.790106035316863,0.7469997304330833,0.7574990341975754,,Bangladesh,BGD
Barbados,,,,,,,,,,,,,,,,,Barbados,BRB
Belarus,0.8197926057569348,0.8669381677060545,0.8334127374603479,0.8671364573706091,0.8913118902869214,0.9750219727912798,0.9097961681458391,0.8549196894749732,0.8158625240619916,1.094258760429615,1.005691244097458,1.1713500531520131,0.9266199454184291,0.897852150829207,0.8890527346137553,,Belarus,BLR
Belgium,0.6587441048739133,0.6657932783223259,0.633808500209115,0.6526791081501739,0.5889018215520732,0.5802988711993187,0.5408617887683552,0.5143858190780223,0.5641250806259183,0.5909383465007948,0.5806902325098031,0.5045181665883316,0.5413236421740223,0.5546984426026492,0.5411750980747216,,Belgium,BEL
Belize,,,,,,,,,,,,,,,,,Belize,BLZ
Benin,0.6251093167366136,0.6239250552547541,0.6285572998294267,0.6160839635397485,0.6831824185295258,0.4817920691833467,0.5643848474037786,0.6465117893831447,0.5881773093617738,0.652455864505331,0.6905637579240571,0.5795260855002032,0.6792614047912211,0.6839004851036792,0.7457960236302236,,Benin,BEN
Bermuda,,,,,,,,,,,,,,,,,Bermuda,BMU
Bhutan,,,,,,,,,,,,,,,,,Bhutan,BTN
Bolivia,0.9883043483449234,1.0022179658919352,0.9465595358563106,1.1325948565612605,1.1784723473994694,1.18572894948909,1.211053315699515,1.1633188627546145,1.1318775357225248,1.0527332737565334,1.0919972616985103,1.069975960204127,1.1327540138596974,1.1128126417539166,1.1102295361533523,,Bolivia,BOL
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,Bosnia and Herzegovina,BIH
Botswana,0.43830686472679975,0.4866060887439902,1.2315421330208909,0.265172715548594,0.3940294867655367,0.46036267048075435,0.4947776598866259,0.3993093702957868,0.35281102636818634,0.6704061873888696,0.7730731158304305,0.7766819313030622,0.7293434610633102,0.3154340262312803,0.34542212383184556,,Botswana,BWA
Brazil,0.9695764236334763,1.0096416217998245,1.0426826012191186,1.044655939443767,1.0537033345293234,1.0201320736257677,0.9887209269646439,0.9576092168554105,0.9121980851030086,0.9405818291070291,0.8946962845156236,0.8892253624432465,0.9060514501683017,0.9158389960235701,0.923038705394192,,Brazil,BRA
Brunei Darussalam,1.5139535008260614,1.4856247406575558,1.4181613758572642,0.9796126782647024,1.1188438341989082,1.1185908031324534,1.0106028133315472,1.1868928872461633,1.2549002470910149,1.4097426397028123,1.428485600881355,1.4216311310999843,1.2863851304852207,0.9876433867973756,1.0827190402974394,,Brunei Darussalam,BRN
Bulgaria,1.030861474447677,1.0710081541769798,1.068002331653847,1.0851300599431104,1.081710086009884,1.0524483479196278,0.9980328741158725,1.0433186636750964,1.0014432252273062,1.0293061561360652,1.1282701786916365,1.1754085469924171,1.105199044573677,1.1181318012345522,1.1271749451769248,,Bulgaria,BGR
Burkina Faso,0.715225018451416,0.6473221210402792,0.6060451958698643,0.551031791299953,0.5009405432168292,0.7287256378426021,0.76798831943971,0.7348181758008514,0.738798259070593,0.6645195470375299,0.6789495715800853,0.7853051837401921,0.8713559900858019,0.7266201087376615,0.7189968708568205,,Burkina Faso,BFA
Burundi,,,,,,,,,,,,,,,,,Burundi,BDI
Cambodia,0.7285042455897889,0.6658601194510896,0.8529474123496027,0.4970275450699663,0.48312825053814346,0.43794331263754743,0.4248012726297738,0.4509616591154078,0.46749189001326763,0.5536969544534471,0.49028202612012295,0.4571939184721972,0.4876410458866508,0.4287099511461053,0.4434185713903275,,Cambodia,KHM
Cameroon,0.7949973354917605,0.7167409869097066,0.71725792736975,0.6949436888039127,0.7425147543807469,0.6662560674545607,0.673408933194563,0.8800306690646174,0.7781060317126843,0.8010963955110181,0.7959279514050386,0.6982109239392208,0.6621484569177025,0.643044126679265,0.6505379153048393,,Cameroon,CMR
Canada,1.0113721764122368,1.035214470074818,1.0049360329334702,1.0711676220257722,1.0299204087109293,0.9965168245732104,1.0034293169938693,0.9825396386056646,0.9842552984127467,0.9656313992483013,0.9277677290024331,0.9958301267553552,0.9365855755940842,0.9422264971507077,0.9580156370069821,,Canada,CAN
Cape Verde,,,,,,,,,,,,,,,,,Cabo Verde,
Central African Republic,,,,,,,,,,,,,,,,,Central African Republic,CAF
Chad,,,,,,,,,,,,,,,,,Chad,TCD
Chile,0.9855016896374927,0.9821031956697975,0.9466981162464072,1.0058203215692827,1.0329004053236948,0.9876005854665725,0.9705754524182812,1.010518250158921,0.9238458367349667,1.0211195759913556,0.9682847550333878,0.9520609915721587,0.9000028303578215,0.9051132901604517,0.9191532359980044,,Chile,CHL
China,1.1350941786823914,1.111584364915752,1.1365863064578454,1.1956393794181495,1.2441081361678066,1.2760612524626807,1.3227199568883998,1.311686702869883,1.2811285952737526,1.1927228436365422,1.2115806367416586,1.1980272091929605,1.1816277131915216,1.1708162303538592,1.1528765479077154,,China,CHN
Colombia,0.9649667411180289,0.9539757096006636,0.8926805990627585,0.9512538081603286,0.932443723294903,0.9130452490986545,0.8754598146967205,0.8420767206647343,0.8607620429427401,0.9240002356900492,0.8930754007647825,0.873810695954286,0.8662261643674741,0.8854152629963251,0.888220750621797,,Colombia,COL
Comoros,,,,,,,,,,,,,,,,,Comoros,COM
Congo (Rep),,,,,,,,,,,,,,,,,"Congo, Rep.",
Costa Rica,0.6069998008122409,0.5831978880954544,0.4458178002036548,0.5908381703166472,0.5829753810609728,0.526856892291788,0.6238279983416517,0.634500602034018,0.6239149850127308,0.7233038587681396,0.638969141257661,0.5865967731704498,0.5739095954948166,0.6074264230386881,0.6184812750185508,,Costa Rica,CRI
Croatia,0.9334843110016908,0.8839737615982435,0.8766500674962112,0.8661460152891403,0.862056148485593,0.8243671724588527,0.7453606231078872,0.7988778416452454,0.7725791410789656,0.8221527998956725,0.839095127503732,0.7560972950879522,0.841739391907094,0.8448544988288563,0.8507011897562844,,Croatia,HRV
Cuba,,,,,,,,,,,,,,,,,Cuba,CUB
Cyprus,0.7709764193806359,0.7746761924915233,0.6607964870940974,0.7611203826370384,0.8551158856398002,0.8227620727186387,0.8636112809994171,0.7893623371831834,0.7133953048134535,0.6446532533664594,0.6108527996029783,0.6667016852587555,0.7510343271262114,0.8131638045621342,0.8547002968429414,,Cyprus,CYP
Czech Republic,1.0786511601132238,1.0752048955822708,1.0184908333721658,1.0476599951994876,1.078728896767368,1.1177653999431432,1.0323311681960907,0.9963558912549751,0.9246204583744823,0.9762741179366277,0.9465768096814171,0.9247114419830729,0.9550786789942786,0.9512890898771051,0.9707583796575124,,Czech Republic,CZE
