,Afghanistan,Albania,Algeria,Andorra,Angola,Anguilla,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,"Bonaire, Saint Eustatius and Saba",Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cambodia,Canada,Cape Verde,Cayman Islands,Central African Republic,Chad,Chile,China,Colombia,Comoros,Congo,Cook Islands,Costa Rica,Côte d'Ivoire,Croatia,Cuba,Curaçao,Cyprus,Czech Republic,North Korea,Democratic Republic of the Congo,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Ethiopia,Faeroe Islands,Falkland Islands (Malvinas),Micronesia (Federated States of),Fiji,Finland,France,French Guiana,French Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guadeloupe,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,Iraq,Ireland,Iran,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Macao,Macedonia (Republic of),Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Martinique,Mauritania,Mauritius,Mexico,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Niue,Norway,Occupied Palestinian Territory,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Bolivia,Poland,Portugal,Qatar,Cameroon,South Korea,Moldova,South Sudan,Sudan,Réunion,Romania,Russian Federation,Rwanda,Saint Helena,Saint Lucia,Sint Maarten (Dutch part),Samoa,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,Spain,Sri Lanka,Saint Kitts and Nevis,Saint Pierre and Miquelon,Saint Vincent and the Grenadines,Suriname,Swaziland,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Thailand,Timor-Leste,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Uganda,Ukraine,United Arab Emirates,United Kingdom,Tanzania,USA,Uruguay,Uzbekistan,Vanuatu,Venezuela,Viet Nam,Wallis and Futuna Islands,Yemen,Zambia,Zimbabwe,KP Annex B,Non KP Annex B,OECD,Non-OECD,EU28,Africa,Asia,Central America,Europe,Middle East,North America,Oceania,South America,Bunkers,Statistical Difference,World
1959,0.105,0.394,1.545,,0.169,,0.008,13.362,0.6180674637792531,0.1963348519362187,22.849,7.62,6.2985386657690405,0.07100000000000001,0.358,0.5021943127962085,0.041,9.790106491052237,24.107,0.011,0.028,0.037,,0.14613951220777507,1.3138705602343463,,10.653,,0.089,5.357,0.002,0.010628571428571428,0.058,50.356,0.005,0.002,0.027,0.017,3.468,196.823,4.392,0.003,0.051000000000000004,,0.105,0.149,1.4390163310142805,4.276,2.8265100949362614,0.227,25.350758435551985,5.424,0.737,7.107,0.01,0.003,0.304,0.353,3.47,0.165,0.013000000000000001,,2.674322474505313,0.092,0.027,0.028,,0.054,3.701,71.492,0.006,0.008,0.006,0.005,1.717447264800556,206.306,0.361,0.013000000000000001,2.218,0.064,0.004,0.039,0.338,0.043000000000000003,0.004,0.151,0.069,0.16,0.738,11.438,0.338,29.95,6.513,1.997,3.361,6.979,1.53,25.694,0.502,52.59,0.179,30.219597556276636,0.603,,1.037,1.256258054286203,0.021,1.5839775467086905,0.669,,0.039,0.11800000000000001,,2.480483376230358,2.844,0.01,0.940673709264006,0.10200000000000001,0.12552631578947368,0.869,,0.013000000000000001,0.106,,0.045,0.009000000000000001,0.061,15.911,0.367,0.16730822084876945,,0.92,0.49,0.758,,,0.018000000000000002,18.32,0.161,2.817,0.131,0.006,0.973,,3.224,,,2.7088056872037916,,0.271,0.044,0.083,1.97,1.973,0.259,51.769,2.179,0.05,0.076,3.063,2.348656362361162,0.031047695482687456,0.34195230451731257,0.019,13.825000000000001,232.79500756344177,0.02037142857142857,,0.003,0.3490155409197452,0.004,0.002,0.506,0.106,3.7909468871702714,,0.064,0.491,8.10624156444802,1.0891842914683265,0.003,0.024,25.787,14.22,0.561,,0.009000000000000001,0.003,0.1,0.001,11.572000000000001,4.533,0.608,3.001,0.8086211536088701,0.907,,0.015,0.002,0.844,0.434,4.694,3.698959233395171,,0.113,70.65927943388915,0.003,149.154,0.188,770.642,1.198,12.481677359895576,,17.783,1.803,,0.71,1.2468947368421053,1.701578947368421,1885.8112710172584,473.8587289827419,1586.3375067659738,773.3324932340265,675.340984019927,40.37799999999999,366.56816675181125,11.038,1005.6758332481888,19.32,836.9820000000001,25.898,53.806000000000004,58.23400000000002,36.09600000000127,2454
1960,0.113,0.552,1.68,,0.15,,0.01,13.312000000000001,0.6435048727268003,0.16882118451025058,24.053,8.405,6.557763609974046,0.112,0.157,0.603696682464455,0.047,10.193031668394813,24.816,0.012,0.044,0.043000000000000003,,0.12566004105415565,1.4351717319663126,,12.792,,0.091,6.08,0.012,0.009942857142857144,0.064,52.603,0.006,0.003,0.024,0.015,3.6790000000000003,212.906,4.4750000000000005,0.003,0.061,,0.134,0.126,1.571871402416697,3.736,2.430413029329787,0.242,27.037424552583953,6.495,0.633,8.121,0.011,0.003,0.28400000000000003,0.481,4.378,0.169,0.006,,2.7843878612604147,0.096,0.016,0.053,,0.053,4.119,73.962,0.006,0.01,0.036000000000000004,0.005,1.7881311480023119,222.181,0.399,0.013000000000000001,2.565,0.061,0.006,0.043000000000000003,0.367,0.112,0.005,0.18,0.078,0.168,0.806,12.373000000000001,0.331,32.883,5.837,2.254,3.049,10.197000000000001,1.764,29.822,0.401,63.480000000000004,0.203,31.463326285449575,0.662,,2.128,1.3079610668912176,0.022,1.6491683017324046,0.704,,0.045,0.189,,2.582571050677658,3.141,0.014,1.027520029293299,0.109,0.11968693284936478,1.147,,0.033,0.093,,0.046,0.01,0.049,17.212,0.353,0.1827547068600905,,0.993,0.514,0.741,,,0.022,20.045,0.23500000000000001,3.148,0.145,0.008,0.929,,3.573,,,3.2563033175355454,,0.272,0.049,0.083,2.229,2.273,0.274,54.477000000000004,2.243,0.048,0.074,3.423,2.445318516361842,0.03088121990369181,0.3401187800963082,0.02,14.576,242.37600341805225,0.019057142857142856,,0.004,0.300105745105807,0.004,0.003,0.73,0.226,4.140940496362173,,0.195,0.38,8.645575447416046,1.189741633101428,0.003,0.023,26.707,13.343,0.616,,0.01,0.003,0.11800000000000001,0.009000000000000001,13.423,5.324,0.879,3.242,0.8419010594013754,1.0130000000000001,,0.018000000000000002,0.003,0.704,0.47100000000000003,4.587,3.851194942624778,,0.115,73.56735839327733,0.003,159.34,0.226,788.3000000000001,1.178,12.995377805173186,,15.563,2.043,,0.991,1.1888901996370238,1.6224228675136116,1978.2971020605182,507.58789793948137,1666.559129494362,819.3258705056385,721.8767402491886,42.760999999999996,401.4121607902432,9.891,1067.0538392097567,24.645,858.186,27.509000000000004,54.423,65.02200000000002,18.092999999999762,2569
1961,0.134,0.622,1.6540000000000001,,0.124,,0.013000000000000001,13.957,0.6636254461976063,0.17618792710706152,24.704,8.689,6.762806291250956,0.149,0.483,0.6251232227488153,0.053,10.511738878342017,25.305,0.01,0.035,0.048,,0.13114338830015515,1.5043149029659464,,13.418000000000001,,0.083,7.083,0.025,0.01302857142857143,0.078,52.954,0.006,0.003,0.024,0.014,3.947,150.55,4.968,0.003,0.073,,0.134,0.151,1.6476004393994872,3.322,2.536467416064178,0.23600000000000002,29.34541421677056,7.215,0.643,8.654,0.012,0.003,0.281,0.449,4.66,0.159,0.006,,2.871447777833098,0.093,0.031,0.042,,0.046,4.074,76.687,0.006,0.016,0.045,0.006,1.8440409408627172,227.885,0.367,0.014,2.6790000000000003,0.08,0.005,0.048,0.384,0.168,0.008,0.201,0.081,0.201,0.92,13.356,0.298,35.561,7.097,2.378,3.372,9.965,1.928,33.965,0.581,77.20700000000001,0.267,32.4470953212298,0.655,0.002,2.722,1.3488573022714139,0.031,1.7007331202552607,0.732,,0.044,0.326,,2.663320727597038,3.161,0.019,1.077023507872574,0.097,0.10192377495462794,1.2790000000000001,,0.032,0.08,,0.047,0.013000000000000001,0.051000000000000004,17.809,0.38,0.1915593952928137,,1.03,0.718,0.707,,,0.022,20.695,0.242,3.209,0.153,0.015,1.122,,3.641,,,3.371876777251185,,0.301,0.055,0.099,2.357,2.379,0.28400000000000003,56.568,2.479,0.044,0.077,3.944,2.521776695550904,0.031463884430176565,0.34653611556982344,0.023,15.21,249.95441407354332,0.02497142857142857,,0.005,0.31320126852860586,0.005,0.003,0.974,0.222,4.34044119057317,,0.079,0.5710000000000001,9.383585783229439,1.2470605638960088,0.004,0.024,27.874000000000002,14.638,0.637,,0.013000000000000001,0.003,0.117,0.001,13.322000000000001,5.5600000000000005,0.836,3.4210000000000003,0.8682249193110211,1.131,,0.025,0.003,1.2550000000000001,0.482,4.735,3.971610892958033,,0.111,75.86760117672782,0.003,160.605,0.192,785.5210000000001,1.124,13.401706436069,,14.161,2.178,,0.727,1.012442831215971,1.381633393829401,2026.2021778792518,458.7918221207479,1704.4385083417292,780.5554916582709,747.602162628981,44.245,360.9979675501507,10.468000000000002,1103.7370324498493,25.794,856.3770000000001,28.230999999999998,55.129999999999995,71.84500000000001,23.161000000000755,2580
1962,0.188,0.672,1.546,,0.322,,0.028,14.643,0.6965054474531289,0.1934886104783599,25.883,9.246,7.097876443580492,0.198,0.434,0.6869004739336494,0.07100000000000001,11.032553728794113,26.757,0.019,0.037,0.043000000000000003,,0.14402094622636616,1.543696448187477,,14.643,0.001,0.101,8.382,0.023,0.012,0.084,56.5,0.005,0.003,0.02,0.023,4.561,120.087,5.3020000000000005,0.003,0.065,,0.15,0.16,1.6907330648114245,3.864,2.7855345364252466,0.247,31.272274924592804,8.378,0.593,10.07,0.013000000000000001,0.003,0.339,0.427,5.071,0.177,0.006,,3.013716593896861,0.108,0.032,0.013000000000000001,,0.063,4.5840000000000005,81.458,0.006,0.013000000000000001,0.024,0.007,1.9354058347169336,241.077,0.391,0.015,2.7720000000000002,0.07200000000000001,0.007,0.051000000000000004,0.377,0.18,0.011,0.185,0.083,0.191,1.0050000000000001,13.788,0.327,39.124,6.271,2.463,3.5780000000000003,10.216000000000001,2.166,39.939,0.578,79.962,0.28600000000000003,34.05471983444418,0.716,0.003,3.8970000000000002,1.4156878164512434,0.036000000000000004,1.7849976816124375,0.779,,0.069,0.28600000000000003,,2.795277676157408,3.15,0.026000000000000002,1.1052189674112047,0.108,0.09845281306715063,1.304,,0.038,0.09,,0.047,0.017,0.069,17.401,0.538,0.19657423957406045,0.001,0.84,0.542,0.786,,,0.024,22.732,0.154,3.057,0.18,0.018000000000000002,1.1400000000000001,,3.839,,,3.705099526066351,,0.325,0.054,0.107,2.719,2.822,0.3,59.126000000000005,2.537,0.052000000000000005,0.079,4.712,2.64672070032189,0.03371130474661775,0.3712886952533823,0.025,17.42,262.3386610846417,0.023,,0.005,0.34395590687002736,0.005,0.003,1.706,0.222,4.454069846841172,,0.089,0.7030000000000001,9.9997250754072,1.2797074331746612,0.004,0.029,28.843,16.377,0.6990000000000001,,0.009000000000000001,0.003,0.135,,13.997,6.587,0.874,3.868,0.9112420106546252,1.373,,0.024,0.003,1.974,0.49,5.899,4.1683884154221476,,0.117,79.62653904783758,0.005,161.811,0.209,814.619,1.094,14.065707684015248,0.011,14.755,2.549,,1.06,0.9779646098003629,1.3345825771324864,2123.376632582132,449.7913674178679,1784.0774240270716,789.0905759729285,790.9744324496527,45.432,343.5445334867379,12.263000000000002,1165.3904665132618,29.837,888.601,29.195999999999998,58.89,74.40300000000002,38.42900000000077,2686
1963,0.193,0.5680000000000001,1.48,,0.314,,0.023,13.658,0.7469567429144145,0.18534054669703873,27.551000000000002,10.088000000000001,7.61201034290922,0.193,0.326,0.789654028436019,0.052000000000000005,11.831695544409785,28.847,0.017,0.033,0.041,,0.13795603184821517,1.7173059318930795,,15.167,0.001,0.097,9.384,0.024,0.013000000000000001,0.106,57.57,0.004,0.003,0.02,0.025,4.7330000000000005,119.08800000000001,5.797,0.003,0.064,,0.164,0.17,1.8808787989747346,3.556,2.6682319571584205,0.269,32.89605097526644,8.962,0.626,11.101,0.018000000000000002,0.004,0.341,0.49,5.878,0.307,0.007,,3.232014823826357,0.115,0.034,0.013000000000000001,,0.066,5.279,91.08800000000001,0.007,0.018000000000000002,0.02,0.008,2.075596743433941,258.089,0.47000000000000003,0.015,3.343,0.09,0.004,0.056,0.41500000000000004,0.19,0.013000000000000001,0.168,0.068,0.194,1.159,15.348,0.356,42.019,6.213,2.562,3.6710000000000003,11.274000000000001,2.239,44.936,0.654,88.68900000000001,0.333,36.521469719174206,0.779,0.005,4.643,1.5182330076911588,0.04,1.9142937923062435,0.8260000000000001,,0.097,0.399,,2.99775330711167,3.122,0.029,1.2295157451482974,0.126,0.09465517241379309,1.591,,0.048,0.112,,0.057,0.024,0.057,18.097,0.437,0.2186816637910069,0.001,1.08,0.453,0.719,,,0.027,24.878,0.169,3.335,0.23,0.024,1.459,,4.086,,,4.259345971563981,,0.323,0.07,0.112,2.791,3.132,0.331,63.054,2.734,1.674,0.082,5.755,2.8384356230747754,0.038122907590002295,0.4198770924099977,0.031,18.961000000000002,281.341133139521,0.023,,0.006,0.3294714642963256,0.006,0.002,1.8940000000000001,0.23500000000000001,4.954990068175306,0.002,0.101,0.927,10.518949024733562,1.423627792017576,0.004,0.028,29.95,16.041,0.6910000000000001,,0.01,0.004,0.145,,15.1,7.937,0.985,4.126,0.9772477254474964,1.5190000000000001,,0.029,0.003,0.357,0.531,6.182,4.470325171714373,,0.11800000000000001,85.39427864377575,0.006,164.66400000000002,0.219,850.6220000000001,1.178,15.084555672689566,0.009000000000000001,15.327,2.487,,0.796,0.9402413793103449,1.283103448275862,2251.4729802975335,468.2140197024666,1886.6056426158443,833.0813573841561,844.9725685142367,48.168,362.2483951259744,10.549000000000001,1247.494604874026,33.74,926.3890000000001,31.166000000000004,59.916999999999994,77.82099999999998,35.49200000000057,2833
1964,0.229,0.55,1.541,,0.334,,0.025,15.197000000000001,0.7943896265685916,0.18020615034168566,29.719,10.620000000000001,8.095384520054811,0.296,0.436,0.8118625592417062,0.049,12.583026118118708,28.269000000000002,0.023,0.039,0.055,,0.13413430497979126,1.9456287074331746,,15.472,0.002,0.093,11.689,0.03,0.013000000000000001,0.093,64.849,0.008,0.003,0.02,0.027,4.779,119.15,5.92,0.003,0.073,,0.184,0.20800000000000002,2.130949249359209,3.898,2.594315263373845,0.273,34.235685159863266,9.724,0.539,11.778,0.023,0.004,0.47700000000000004,0.585,6.96,0.336,0.007,,3.4372526566210424,0.111,0.033,0.003,,0.116,6.232,94.165,0.008,0.018000000000000002,0.052000000000000005,0.008,2.207400277946744,264.486,0.45,0.015,3.606,0.08600000000000001,0.006,0.059000000000000004,0.483,0.191,0.016,0.177,0.082,0.197,1.1520000000000001,17.017,0.357,41.082,6.107,2.475,3.8810000000000002,12.97,2.495,47.984,1.109,97.98700000000001,0.339,38.84063831963442,0.771,0.005,6.909,1.6146431014440676,0.047,2.035854345299042,0.891,,0.132,0.181,,3.1881151790526867,3.356,0.035,1.392984840717686,0.132,0.09,2.02,,0.048,0.136,,0.064,0.032,0.084,20.256,0.558,0.24775627624602123,0.002,1.206,0.584,0.78,,0.008,0.041,26.416,0.3,3.5740000000000003,0.259,0.026000000000000002,1.984,,4.415,,0.003,4.379137440758295,,0.339,0.073,0.11800000000000001,3.345,3.501,0.404,66.298,3.0060000000000002,1.711,0.092,6.059,3.0186805809606483,0.042201559275395546,0.46479844072460447,0.034,19.666,299.2067208886503,0.01,,0.006,0.3203442813046779,0.007,0.003,1.922,0.252,5.613776056232924,0.002,0.083,1.01,10.947314840136738,1.612904870010985,0.005,0.037,32.631,17.565,0.62,,0.013000000000000001,0.005,0.165,0.003,16.48,7.681,1.191,4.617,1.039304435025619,2.04,,0.036000000000000004,0.003,1.035,0.752,7.182,4.754197585716481,,0.134,90.81694457733263,0.005,165.9,0.28200000000000003,887.918,1.243,16.042447787574222,0.017,15.436,3.218,,0.991,0.894,1.22,2362.525741766326,495.32725823367434,1974.563157526632,883.289842473368,876.4110763003432,52.89499999999999,378.940405653965,12.448000000000002,1304.2875943460353,39.52,973.1220000000001,33.772000000000006,62.85200000000001,85.18100000000003,51.96600000000036,2995
1965,0.275,0.593,1.799,,0.324,,0.041,16.053,0.8426972469418281,0.16167767653758544,32.988,10.414,8.58767287464905,0.359,0.335,0.8519004739336493,0.056,13.34821240521345,28.754,0.023,0.041,0.049,,0.12034285584591371,2.0018451116807032,,15.38,0.002,0.091,12.631,0.028,0.01,0.11,68.763,0.007,0.003,0.024,0.029,4.845,129.799,6.2410000000000005,0.004,0.067,,0.231,0.32,2.1925202489930427,3.984,2.327572411890378,0.314,33.35901278906093,12.072000000000001,0.674,12.091000000000001,0.033,0.004,0.422,0.621,7.538,0.28400000000000003,0.008,,3.6462753967343424,0.176,0.037,0.003,,0.094,6.907,95.95100000000001,0.01,0.023,0.059000000000000004,0.008,2.341634476219751,262.081,0.465,0.013000000000000001,4.643,0.094,0.006,0.056,0.539,0.19,0.018000000000000002,0.294,0.083,0.20500000000000002,1.311,16.715,0.381,45.261,6.7330000000000005,5.267,3.745,14.662,3.5300000000000002,51.75,0.8160000000000001,105.514,0.388,41.20257602406274,0.673,0.003,9.659,1.7128311484352507,0.049,2.1596566654183595,0.905,,0.152,0.277,,3.3819876222781677,3.3280000000000003,0.036000000000000004,1.4332333211277921,0.152,0.095,2.2880000000000003,,0.054,0.129,,0.067,0.044,0.083,20.52,0.534,0.2549148707543658,0.001,1.162,0.547,0.744,,0.009000000000000001,0.049,27.406,0.336,3.736,0.213,0.025,3.208,,4.4750000000000005,,0.007,4.595099526066352,,0.417,0.083,0.15,3.263,3.813,0.41200000000000003,67.418,3.1630000000000003,1.716,0.085,6.819,3.2022495383789473,0.0551034166475579,0.6068965833524421,0.041,21.468,317.4017780777082,0.013000000000000001,,0.007,0.28740705572612324,0.008,0.003,1.151,0.462,5.775978794569692,0.002,0.077,0.6900000000000001,10.666987210939071,1.659507652874405,0.007,0.036000000000000004,34.977000000000004,19.394000000000002,0.725,,0.011,0.004,0.217,0.022,17.079,8.282,1.0030000000000001,4.873,1.1025055675936608,2.032,,0.036000000000000004,0.003,1.417,0.672,7.469,5.043305051963485,,0.171,96.3396129699822,0.006,169.79,0.317,924.713,1.506,17.01800493442059,0.013000000000000001,16.577,3.59,,1.072,1.068,1.422,2454.3873386339883,537.1236613660111,2041.9957830496087,949.5152169503913,892.236947586298,58.35999999999999,410.9392273242864,12.354999999999997,1345.7757726757136,47.170000000000016,1014.101,37.22,65.57199999999999,88.051,50.43799999999821,3130
1966,0.298,0.6960000000000001,2.299,,0.424,,0.095,17.218,0.8899346587034779,0.1511856492027335,32.815,10.706,9.069055056834049,0.298,0.177,0.866914691943128,0.073,14.096446730121071,28.69,0.022,0.031,0.055,,0.11253324007130831,1.9836574514829732,,17.536,0.003,0.134,13.299,0.028,0.013000000000000001,0.128,70.717,0.006,0.005,0.023,0.023,5.125,142.566,6.409,0.005,0.084,,0.271,0.353,2.172600219699744,4.141,2.1765252550262453,0.339,33.1711003016288,12.994,0.656,13.67,0.038,0.004,0.456,0.66,7.244,0.356,0.007,,3.8506674401840857,0.225,0.038,0.003,,0.088,8.05,94.69200000000001,0.012,0.033,0.10400000000000001,0.009000000000000001,2.472894845646475,259.713,0.393,0.015,5.086,0.106,0.008,0.069,0.47500000000000003,0.196,0.018000000000000002,0.322,0.083,0.22,1.409,16.835,0.40800000000000003,46.841,6.38,7.555,4.121,17.497,3.708,58.426,0.96,114.465,0.432,43.5121872828541,0.732,0.003,9.586,1.808843934201953,0.064,2.2807162648633317,0.99,,0.167,0.717,,3.5715650090159516,3.169,0.041,1.420211753936287,0.158,0.117,2.685,,0.052000000000000005,0.113,,0.074,0.049,0.075,22.07,0.533,0.25259885488401906,0.002,1.491,0.58,0.766,,0.009000000000000001,0.052000000000000005,28.267,0.41200000000000003,3.822,0.262,0.037,3.52,,5.335,,0.008,4.676085308056872,,0.452,0.093,0.14,3.615,4.397,0.461,68.906,3.232,1.712,0.094,8.185,3.3817517030732165,0.06001444622792937,0.6609855537720706,0.049,22.957,335.1937413709874,0.012,,0.008,0.2687558556997128,0.007,0.003,1.749,0.46900000000000003,5.723501438048973,0.002,0.082,0.184,10.606899698371205,1.6444302819480046,0.007,0.038,35.003,21.197,0.726,,0.012,0.005,0.299,0.055,19.796,8.598,1.341,5.315,1.1643065401907962,2.585,,0.049,0.003,1.106,0.787,8.603,5.326007621888523,,0.2,101.73993198530606,0.007,168.684,0.374,971.333,1.474,17.971949556129438,0.021,15.552,5.236,,0.9450000000000001,0.9550000000000001,1.649,2551.220652572005,576.2743474279954,2117.697097722132,1009.7979022778679,907.2459792157111,60.416,443.9981794964489,12.341,1386.1278205035512,54.31000000000001,1064.238,37.22,68.826,95.264,65.2409999999992,3288
1967,0.35000000000000003,0.731,2.302,,0.271,,0.154,17.874,0.9305586047679556,0.18623348519362187,35.251,10.899000000000001,9.483041409519029,0.465,0.274,0.9200900473933651,0.092,14.739924637251358,29.308,0.033,0.039,0.058,,0.13862067999924543,2.0036488465763456,,18.051000000000002,0.001,0.12,15.044,0.028,0.013000000000000001,0.114,76.874,0.005,0.004,0.025,0.032,5.252,118.144,6.74,0.005,0.088,,0.23900000000000002,0.406,2.194495789088246,4.295,2.6810870343383466,0.372,33.102148542127495,14.302,0.625,13.383000000000001,0.024,0.006,0.428,0.707,5.3660000000000005,0.316,0.007,,4.026443610796629,0.293,0.046,0.005,,0.097,7.804,101.44800000000001,0.019,0.038,0.276,0.009000000000000001,2.5857781296608575,255.564,0.40800000000000003,0.017,5.327,0.114,0.01,0.079,0.541,0.198,0.013000000000000001,0.361,0.07100000000000001,0.23900000000000002,1.6520000000000001,16.043,0.394,46.97,6.698,5.016,4.476,18.528,3.693,63.929,1.055,133.592,0.386,45.49844181518273,0.737,0.006,6.938,1.891414466435333,0.08700000000000001,2.3848269359402026,0.974,,0.167,5.047,,3.734600646377709,3.098,0.045,1.4345247162211645,0.23,0.1,2.765,,0.061,0.14200000000000002,,0.081,0.054,0.136,24.571,0.587,0.2551445582786977,0.002,1.477,0.511,0.987,,0.013000000000000001,0.058,29.12,0.402,3.72,0.295,0.036000000000000004,3.501,,5.271,,0.037,4.962909952606636,,0.463,0.11900000000000001,0.133,3.724,4.972,0.516,70.70700000000001,3.384,1.824,0.125,9.586,3.5361226981182314,0.07233363907360696,0.7966663609263931,0.058,25.124,350.4947439080091,0.011,,0.009000000000000001,0.33105880046878605,0.007,0.003,6.956,0.191,5.7811831605056305,0.002,0.069,0.834,10.584851457872512,1.6610029293299158,0.009000000000000001,0.062,36.511,23.594,0.804,,0.014,0.005,0.364,0.062,18.817,8.88,1.2570000000000001,6,1.2174550782645213,3.318,,0.054,0.004,1.2650000000000001,0.842,9.142,5.569130467205964,,0.221,106.38418026707998,0.25,161.58100000000002,0.48,1007.8290000000001,1.332,18.79233732539035,0.023,17.948,6.268,,0.833,1.307,1.445,2645.028294086622,578.8017059133783,2191.9114465401267,1031.9185534598732,916.8523699115328,64.80199999999999,450.4081572964268,13.673000000000005,1416.8208427035734,56.10799999999999,1109.402,39.56999999999999,73.026,101.95500000000001,67.21499999999915,3393
1968,0.334,0.838,2.471,,0.456,,0.27,18.839,0.9567029703934765,0.1731742596810934,36.712,11.549,9.749470735498173,0.445,0.301,1.0550616113744078,0.12,15.154047914425306,32.331,0.028,0.042,0.061,,0.1289002007904281,2.1429873672647384,,21.113,0.004,0.117,16.233,0.028,0.015,0.134,82.776,0.008,0.006,0.05,0.034,5.788,127.878,7.255,0.005,0.123,,0.28300000000000003,0.481,2.3471062614426947,4.373,2.493081530581927,0.443,34.63272606072793,16.179000000000002,0.919,14.542,0.033,0.006,0.641,0.85,6.246,0.34400000000000003,0.008,,4.139567935682604,0.47100000000000003,0.05,,,0.108,9.085,104.89,0.023,0.042,0.535,0.01,2.6584264599239327,268.82,0.481,0.018000000000000002,6.087,0.148,0.011,0.076,0.584,0.20400000000000001,0.017,0.363,0.07200000000000001,0.334,1.692,16.677,0.435,51.087,7.523000000000001,5.377,4.86,22.472,3.766,68.038,1.059,153.413,0.41100000000000003,46.776736263391335,0.769,0.009000000000000001,6.12,1.9445544095904617,0.046,2.451829472961886,1.0090000000000001,,0.241,8.219,,3.8395255423100316,3.346,0.046,1.5342849871841817,0.249,0.106,2.875,,0.054,0.17400000000000002,,0.084,0.064,0.17400000000000002,25.631,0.677,0.27288791953333785,0.002,1.5350000000000001,0.758,0.799,,0.013000000000000001,0.069,30.966,0.502,3.678,0.336,0.044,1.809,,5.765,,0.044,5.690938388625593,,0.551,0.137,0.161,3.955,6.0680000000000005,0.594,75.286,3.548,1.931,0.138,10.156,3.6354712874952106,0.07050240770465489,0.7764975922953452,0.059000000000000004,27.322,360.34201487794365,0.015,0.001,0.01,0.30784400894655184,0.008,0.004,7.937,0,6.183220429056923,0.002,0.105,1.478,11.07427393927207,1.7765130355181253,0.01,0.042,37.656,26.495,0.884,,0.011,0.006,0.396,0.076,21.185,9.825000000000001,1.6260000000000001,6.593,1.251659899471598,4.663,,0.053,0.004,1.102,0.981,9.903,5.725597112514313,,0.268,109.37308058074419,0.339,165.522,0.451,1044.82,1.332,19.320314537653772,0.017,17.899,6.442,,3.176,1.247,1.741,2774.1826377066027,625.5913622933967,2307.5180809712,1092.255919028799,967.6605422479154,70.34399999999998,494.63046238843714,14.079999999999998,1483.2295376115626,64.41199999999999,1153.386,41.103,78.56800000000001,107.75799999999997,58.4680000000006,3566
