,year,country_code,renewable_energy_consumption_of_total_final_energy_consumpti,household_final_consumption_expenditure_per_capita_constant_20,merchandise_imports_current_us_tm_val_mrch_cd_wt,industry_value_added_constant_2010_us_nv_ind_totl_kd,access_to_electricity_of_population_eg_elc_accs_zs,urban_population_of_total_sp_urb_totl_in_zs,employment_to_population_ratio_15_total_modeled_ilo_est,total_natural_resources_rents_of_gdp_ny_gdp_totl_rt_zs,life_expectancy_at_birth_total_years_sp_dyn_le00_in,net_migration_sm_pop_netm,proportion_of_seats_held_by_women_in_national_parliaments,individuals_using_the_internet_of_population_it_net_user_z
0,AGO,1999,,,,,42.4512062072754,31.692,65.1780014038086,49.5598590014791,46.0707804878049,,15.5,0.071964087
1,AGO,2000,0.0164468579613819,,-0.022193631392730784,,41.7885398864746,32.419,65.1760025024414,61.9566979211907,47.076756097561,,15.5,0.105045562
2,AGO,2001,-0.011529710525905124,,0.045723684210526416,,41.1147270202637,33.152,65.1460037231445,45.5917376068122,48.1626341463415,,15.5,0.136013867
3,AGO,2002,-0.022136344374475425,,0.18276187480339723,,40.4336700439453,33.895,64.8010025024414,38.3569939726715,49.3015609756098,172594.0,15.5,0.270376746
4,AGO,2003,-0.0668144590942934,,0.45744680851063824,,39.749267578125,34.645,64.8499984741211,36.6540435981515,50.4661219512195,,15.5,0.370682065
5,AGO,2004,-0.02693754762937528,,0.06423357664233587,,39.0654182434082,35.405,64.6190032958984,45.1906800538674,51.6328536585366,,15.0,0.464814618
6,AGO,2005,0.0833848436479463,,0.4322702331961592,,38.3860244750977,36.169,64.1650009155273,59.9082215273012,52.7877073170732,,15.0,1.143366827
7,AGO,2006,-0.08359776761239546,,0.050832036394109936,,37.7149772644043,36.942,63.7430000305176,54.1352418835,53.9271219512195,,15.0,1.5
8,AGO,2007,-0.052641489595683266,,0.5563479766678818,,37.5,37.722,63.2709999084473,51.321094551294,55.047512195122,85286.0,15.0,1.7
9,AGO,2008,-0.056683806630832057,,0.5359051313959446,,36.4059982299805,38.509,63.1129989624023,58.056389212494,56.1392926829268,,37.3,1.9
10,AGO,2009,-0.04059706873828617,,0.07996854446668578,,35.7655067443848,39.299,63.3860015869141,28.1221547464694,57.181,,38.6,2.3
11,AGO,2010,-0.02789550957397413,1710.57113255196,-0.2644773366166664,,35.1320190429688,40.097,63.5460014343262,39.0314457416062,58.1411219512195,,38.6,2.8
12,AGO,2011,-0.027275036519315954,,0.2136891929918454,,34.6,40.9,63.5940017700195,44.5049457155699,58.991243902439,,38.2,3.1
13,AGO,2012,-0.008914866111433883,,0.17245555753297337,,33.879035949707,41.699,63.6290016174316,41.5594819892597,59.7184390243903,87322.0,34.1,6.5
14,AGO,2013,-0.02985167508459219,,0.11022043506107448,,33.256046295166,42.49,63.648998260498,34.892099898287,60.321756097561,,34.1,8.9
15,AGO,2014,0.002196968700620916,,0.08542345435585563,,32.0,43.274,63.7439994812012,27.5324944628527,60.8067317073171,,36.8,10.2
16,AGO,2015,,,-0.27598527238561066,,,44.05,63.7949981689453,11.2514152141393,61.1893414634146,,36.8,12.4
17,AGO,2016,,,-0.06992702846373056,,,44.819,63.8110008239746,,,,36.8,13.0
18,ALB,1999,,1607.13816653023,,,100.0,41.169,53.7060012817383,0.506338332034647,73.6355365853659,,5.2,0.081437045
19,ALB,2000,-0.029797647340284228,1659.78273980965,-0.0556965753840023,0.13780025427877995,100.0,41.741,53.7309989929199,1.04835559731474,74.0140243902439,,5.2,0.114097347
20,ALB,2001,-0.05597111682087319,1667.45176283203,0.21735779816513756,0.1553186786828329,100.0,42.435,47.9889984130859,0.689296209772892,74.3629268292683,,5.7,0.325798377
21,ALB,2002,-0.08253836425684702,1800.07155731716,0.13324088867452444,0.05752202587418109,100.0,43.501,52.5029983520508,0.725211853712081,74.6706585365854,-176774.0,5.7,0.390081273
22,ALB,2003,-0.059715394739651706,2006.58578732185,0.23967892958795511,0.2620327879995119,100.0,44.573,51.9930000305176,0.716866948270773,74.9347073170732,,5.7,0.971900415
23,ALB,2004,0.06468035169142494,2204.22497664524,0.23864751921808036,0.1088975954423046,100.0,45.651,50.951000213623,0.569573656768942,75.1570975609756,,6.4,2.420387798
