,year,country_code,renewable energy share 2000-14,household expenditure 2015,merchandise imports 2000-15,imports of goods and services,industry value added 2000-15,electricity access 2014,urbanization rate,employment ratio,natural resource rents,life expectancy,net migration,women in parliament,internet use
0,2000 [YR2000],ALB,41.4454090076617,1659.782739809647,1090000000.0,38.05334470392878,1061193582.1331304,100.0,41.741,53.7309989929199,1.04835559731474,74.27153658536587,,5.2,0.114097346552109
1,2001 [YR2001],ALB,39.125663178405,1667.451762832032,1326920000.0,38.998790160820896,1226016767.1367545,100.0,42.435,47.9889984130859,0.689296209772892,74.73256097560976,,5.7,0.325798377067964
2,2002 [YR2002],ALB,35.8962949391951,1800.0715573171628,1503720000.0,44.33536647370915,1296539735.3381662,100.0,43.501,52.5029983520508,0.725211853712081,75.15460975609756,-175406.0,5.7,0.39008127343332
3,2003 [YR2003],ALB,33.7527335172101,2006.585787321848,1864130000.0,45.08471103929699,1636275656.9409757,100.0,44.573,51.9930000305176,0.716866948270773,75.52329268292684,,5.7,0.971900415195857
4,2004 [YR2004],ALB,35.9358721916502,2204.224976645237,2309000000.0,44.37488902491235,1814462141.4626346,100.0,45.651,50.951000213623,0.569573656768942,75.83121951219513,,6.4,2.42038779776014
5,2005 [YR2005],ALB,36.8694827126453,2348.859511304779,2618000000.0,47.47122763871932,1983459110.4624002,100.0,46.731,49.9679985046387,0.957746591359024,76.08160975609756,,7.1,6.04389086404814
6,2006 [YR2006],ALB,31.7101944002743,2475.0565067538264,3058000000.0,48.52105364889034,2210328665.108301,100.0,47.815,49.560001373291,1.44554511509143,76.28612195121951,,7.1,9.60999131577118
7,2007 [YR2007],ALB,32.100936890243,2760.1092263218006,4187510000.0,54.78820068167622,2201313509.819632,100.0,48.902,48.5359992980957,2.06404787953425,76.47029268292683,-252926.0,7.1,15.0361154084109
8,2008 [YR2008],ALB,35.9129033063239,3074.0711000010215,5250600000.0,56.43714441967392,2712965282.31419,100.0,49.991,48.0970001220703,1.67710468157327,76.65207317073171,,7.1,23.86
9,2009 [YR2009],ALB,37.216639387036,3116.4585674385257,4550030000.0,53.75869561760527,2787886673.4473777,100.0,51.076,46.992000579834,0.980775143144781,76.84036585365855,,16.4,41.2
10,2010 [YR2010],ALB,37.1153301953119,3183.902436443433,4405940000.0,53.02454351132213,2974282403.469814,100.0,52.163,46.2159996032715,2.06355206829376,77.0369512195122,,16.4,45.0
11,2011 [YR2011],ALB,35.9625311965326,3249.3102463819746,5395651000.0,56.7491781199186,3054047073.6832266,100.0,53.247,45.5859985351563,3.5300021231313,77.24058536585366,,15.7,49.0
12,2012 [YR2012],ALB,40.0482965992594,3258.774039226484,4882276000.0,51.98686782766612,2792077504.9018173,100.0,54.33,45.1129989624023,3.69326194232259,77.44397560975611,-91750.0,15.7,54.6559590399494
13,2013 [YR2013],ALB,41.288978499442,3326.769273618847,4901658000.0,53.48055179982264,2947905900.1190557,100.0,55.383,43.2280006408691,3.72050640528104,77.64046341463416,,17.9,57.2
14,2014 [YR2014],ALB,38.6894965993971,3433.674316956838,5229801000.0,47.224797560415986,2841781286.9929986,100.0,56.409,41.5670013427734,3.63554032541321,77.83046341463417,,20.0,60.1
15,2015 [YR2015],ALB,,3474.681139884074,4320398700.88476,44.520189637457754,3010298917.764192,,57.407,41.7140007019043,1.77879993083923,78.01446341463416,,20.7,63.252932696931
16,2000 [YR2000],DZA,0.427372231543964,1077.969012902636,9171000000.0,20.78862576034893,58871143722.163826,96.7021331787109,59.919,30.5860004425049,15.3072032933818,70.18390243902441,,3.4,0.491705679141589
17,2001 [YR2001],DZA,0.42768492530744,1114.4063184530003,9940000000.0,22.016857732864406,59386890597.31688,97.0040435791016,60.712,31.4669990539551,14.1219292406577,70.60175609756098,,3.4,0.646114016703792
18,2002 [YR2002],DZA,0.514766099163511,1145.7512139503358,11969300000.0,25.629631733042412,62642440666.11929,97.298698425293,61.501,31.8959999084473,14.0694684478252,71.01485365853658,-205228.0,6.2,1.59164126035832
19,2003 [YR2003],DZA,0.469092426232018,1181.6411722001042,12380400000.0,23.87594297029691,66828627725.370735,97.5900192260742,62.284,32.6829986572266,16.3043869156727,71.421,,6.2,2.19535973086144
20,2004 [YR2004],DZA,0.441740768754371,1240.2221528488847,18168600000.0,25.648199672207568,69803022426.00124,97.8818893432617,63.061,35.101001739502,18.1961972360354,71.81626829268293,,6.2,4.63447508776537
21,2005 [YR2005],DZA,0.584727459304692,1278.10097533939,20357000000.0,24.073404358228647,74192207909.50407,98.1842651367188,63.83,35.9900016784668,24.3961578267403,72.19656097560976,,6.2,5.84394209201256
22,2006 [YR2006],DZA,0.408727320836403,1300.0129073034207,21456000000.0,21.919325860295967,75757453390.89464,98.4907379150391,64.593,37.1419982910156,26.5344333240981,72.55770731707318,,6.2,7.37598495634886
23,2007 [YR2007],DZA,0.411409197628073,1347.9778920553442,27631000000.0,24.869963387081373,77633513944.74419,98.8065185546875,65.348,36.4010009765625,25.0103184379826,72.89836585365853,-357340.0,7.7,9.45119062555304
24,2008 [YR2008],DZA,0.298765681095809,1416.942598588114,39479000000.0,28.71117691783427,79147377862.8486,99.3,66.097,37.3650016784668,27.0417709555209,73.21931707317074,,7.7,10.18
25,2009 [YR2009],DZA,0.311808088711956,1477.4928807238412,39294000000.0,35.95267771075934,79281885881.29219,99.4438934326172,66.822,37.7750015258789,18.9537007151376,73.52102439024391,,7.7,11.23
